sample,condition,ARNTL,NPAS2,CLOCK,CRY1,CRY2,NR1D1,NR1D2,PER1,PER2,PER3,DBP,TEF
GSM813468,tumor,7.3747562375,7.603220149,7.702999718,9.092800186,9.115537953,6.991302552,7.6907302375,7.177303405,8.6781184035,8.050207317,7.664010782,8.414436071
GSM813469,tumor,7.278825739,7.103418961,8.019057792,8.957435366,9.929752451,6.99250982,8.228694924,7.588752173,8.9113603125,9.614205221,8.313902041,9.641462316
GSM813470,tumor,7.4733659735,7.255353111,8.649846905,8.520424509,9.196777355,6.899333192,7.661265911,7.579841388,8.240279892,8.295366198,7.84348716,8.890181073
GSM813471,tumor,7.366525912,7.124959879,8.279261106,8.768303758,9.612024825,7.016748184,7.716336471,7.682297074,8.343559573,9.337471693,7.771997136,9.136662052
GSM813472,tumor,7.40961798,7.888865457,8.657408046,7.697755668,9.526757969,6.846566244,7.533595948,7.971392554,8.1202736375,8.702063832,8.115588668,8.681441958
GSM813473,tumor,7.5603705835,7.305899522,8.723230992,8.792609587,9.532226615,7.07456473,7.4130719925,7.632776892,8.414792285,8.746242948,7.620476793,8.635261444
GSM813474,tumor,7.352590133,7.293823405,7.602944128,8.6285646435,8.934371796,7.054102618,7.515932443,7.866556662,8.5916551595,9.011604438,8.53853638,8.69630062
GSM813475,tumor,7.373629308,7.228986381,8.616941728,9.0211138045,9.447042092,6.919501842,7.953379577,7.746576147,8.5344426945,9.36481115,7.893808048,9.010345276
GSM813476,tumor,7.1435018725,7.42220283,8.684834517,8.1203310045,10.66291729,6.977842833,8.0514615465,8.19505852,8.663701319,8.952207585,8.39746347,9.73739985
GSM813477,tumor,7.3831576715,7.184225534,8.244621733,8.610458883,9.795629601,6.989557776,7.7950788695,7.909470393,8.659707343,9.548982431,8.401330417,9.423478813
GSM813478,tumor,7.3194253685,7.056177002,8.866272102,8.1430195205,8.571961625,6.940060809,7.566991995,7.227185599,8.4034335425,8.40371751,7.640178911,8.332029455
GSM813479,tumor,7.937821553,7.23544971,8.816442599,9.0548216165,9.648105,7.125496618,7.291159561,7.362170556,8.168292027,8.361620897,7.47490005,8.30523662
GSM813480,tumor,7.5857951525,7.973149742,8.541970432,8.0058765295,8.918971212,7.083466569,7.666513207,7.277200904,8.5259843485,8.335256644,8.018788918,8.433726762
GSM813481,tumor,7.6762269105,7.064985263,8.273284604,8.7767550615,9.87358842,6.936779007,7.3726783155,7.892275251,8.703176408,9.020676853,7.672497198,8.331176478
GSM813482,tumor,7.415069193,7.702064251,8.392731938,7.87842418,8.923040292,6.928412893,7.3851825235,7.228027936,8.9395254045,8.229905578,7.682493234,9.211278533
GSM813483,tumor,7.4977224975,7.188608676,8.51174828,8.561693502,9.600535186,6.949816494,7.556414631,7.60802598,8.2419766865,9.455651206,8.016811686,9.243549388
GSM813484,tumor,7.422726815,8.023443519,7.542988111,8.0534372965,8.693679539,6.961115802,7.112824021,7.017152225,7.954972211,8.090339937,7.571038721,8.678758499
GSM813485,tumor,7.966932788,7.506619594,8.976935538,8.8423061885,9.115505946,6.895350279,7.459727551,7.276631284,8.1967256415,8.567628552,8.08247418,8.048417937
GSM813486,tumor,7.555915653,8.08519579,9.644654809,9.178974919,8.976737423,6.818242382,7.4763827075,7.053388972,8.483841062,8.336814578,7.263198294,7.794350873
GSM813487,tumor,7.257301124,7.115047107,8.74195525,8.590437578,9.955855069,6.949178111,7.9895517305,7.937899152,8.4584379775,9.375157916,8.849910926,10.01623537
GSM813488,tumor,7.395179246,7.176263912,9.00786989,8.8675636115,8.693377838,6.929907329,7.803631505,7.525837825,8.2604356115,8.718155527,7.930671311,8.161897812
GSM813489,tumor,7.3437411555,7.032171398,8.226238633,8.60025341,9.73453468,6.887318733,7.855714674,7.630929679,8.2980985805,9.562176985,8.316912205,9.585090559
